station,valid,fx_valid,raw,is_tempo,fx_valid_end,sknt,drct,gust,visibility,presentwx,skyc,skyl,ws_level,ws_drct,ws_sknt,product_id,ftype
KACY,2026-01-19 03:01,2026-01-19 04:00,FM190400 31010KT P6SM BKN040,False,,10.0,310.0,0.0,6.01,[],['BKN'],[4000],,,,202601190301-KPHI-FTUS41-TAFACY-AAB,Forecast
KACY,2026-01-19 03:01,2026-01-19 12:00,FM191200 27008KT P6SM SCT120,False,,8.0,270.0,0.0,6.01,[],['SCT'],[12000],,,,202601190301-KPHI-FTUS41-TAFACY-AAB,Forecast
KACY,2026-01-19 03:01,2026-01-19 15:00,FM191500 24012G22KT P6SM BKN200,False,,12.0,240.0,22.0,6.01,[],['BKN'],[20000],,,,202601190301-KPHI-FTUS41-TAFACY-AAB,Forecast
KACY,2026-01-19 05:20,2026-01-19 05:20,1906/2006 29010KT P6SM BKN040,False,,10.0,290.0,0.0,6.01,[],['BKN'],[4000],,,,202601190520-KPHI-FTUS41-TAFACY,Observation
KACY,2026-01-19 05:20,2026-01-19 12:00,FM191200 25008KT P6SM SCT100,False,,8.0,250.0,0.0,6.01,[],['SCT'],[10000],,,,202601190520-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-19 05:20,2026-01-19 17:00,FM191700 25013G22KT P6SM BKN050,False,,13.0,250.0,22.0,6.01,[],['BKN'],[5000],,,,202601190520-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-19 05:20,2026-01-20 01:00,FM200100 29014G23KT P6SM SCT080,False,,14.0,290.0,23.0,6.01,[],['SCT'],[8000],,,,202601190520-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-19 11:20,2026-01-19 11:20,1912/2012 26008KT P6SM SCT100,False,,8.0,260.0,0.0,6.01,[],['SCT'],[10000],,,,202601191120-KPHI-FTUS41-TAFACY,Observation
KACY,2026-01-19 11:20,2026-01-19 17:00,FM191700 25013G22KT P6SM BKN050,False,,13.0,250.0,22.0,6.01,[],['BKN'],[5000],,,,202601191120-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-19 11:20,2026-01-20 01:00,FM200100 29014G23KT P6SM SCT080,False,,14.0,290.0,23.0,6.01,[],['SCT'],[8000],,,,202601191120-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-19 11:20,2026-01-20 07:00,FM200700 28010KT P6SM SKC,False,,10.0,280.0,0.0,6.01,[],['SKC'],[None],,,,202601191120-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-19 17:20,2026-01-19 17:20,1918/2018 24012G20KT P6SM SKC,False,,12.0,240.0,20.0,6.01,[],['SKC'],[None],,,,202601191720-KPHI-FTUS41-TAFACY,Observation
KACY,2026-01-19 17:20,2026-01-20 00:00,FM200000 24007G14KT P6SM SCT200,False,,7.0,240.0,14.0,6.01,[],['SCT'],[20000],,,,202601191720-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-19 17:20,2026-01-20 06:00,FM200600 29011G20KT P6SM SKC,False,,11.0,290.0,20.0,6.01,[],['SKC'],[None],,,,202601191720-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-19 23:21,2026-01-19 23:21,2000/2024 25005KT P6SM SKC,False,,5.0,250.0,0.0,6.01,[],['SKC'],[None],,,,202601192321-KPHI-FTUS41-TAFACY,Observation
KACY,2026-01-19 23:21,2026-01-20 03:00,FM200300 30012G20KT P6SM SKC,False,,12.0,300.0,20.0,6.01,[],['SKC'],[None],,,,202601192321-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-19 23:21,2026-01-20 08:00,FM200800 29010KT P6SM SKC,False,,10.0,290.0,0.0,6.01,[],['SKC'],[None],,,,202601192321-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-19 23:21,2026-01-20 14:00,FM201400 29015G25KT P6SM SKC,False,,15.0,290.0,25.0,6.01,[],['SKC'],[None],,,,202601192321-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-20 02:10,2026-01-20 02:10,2002/2024 25005KT P6SM BKN060,False,,5.0,250.0,0.0,6.01,[],['BKN'],[6000],,,,202601200210-KPHI-FTUS41-TAFACY-AAA,Observation
KACY,2026-01-20 02:10,2026-01-20 04:00,FM200400 30012G20KT P6SM SKC,False,,12.0,300.0,20.0,6.01,[],['SKC'],[None],,,,202601200210-KPHI-FTUS41-TAFACY-AAA,Forecast
KACY,2026-01-20 02:10,2026-01-20 08:00,FM200800 29010KT P6SM SKC,False,,10.0,290.0,0.0,6.01,[],['SKC'],[None],,,,202601200210-KPHI-FTUS41-TAFACY-AAA,Forecast
KACY,2026-01-20 02:10,2026-01-20 14:00,FM201400 29015G25KT P6SM SKC,False,,15.0,290.0,25.0,6.01,[],['SKC'],[None],,,,202601200210-KPHI-FTUS41-TAFACY-AAA,Forecast
KACY,2026-01-20 05:20,2026-01-20 05:20,2006/2106 31008KT P6SM SCT060 BKN250,False,,8.0,310.0,0.0,6.01,[],"['SCT', 'BKN']","[6000, 25000]",,,,202601200520-KPHI-FTUS41-TAFACY,Observation
KACY,2026-01-20 05:20,2026-01-20 16:00,FM201600 29010G21KT P6SM SKC,False,,10.0,290.0,21.0,6.01,[],['SKC'],[None],,,,202601200520-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-20 05:20,2026-01-20 23:00,FM202300 29005KT P6SM SKC,False,,5.0,290.0,0.0,6.01,[],['SKC'],[None],,,,202601200520-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-20 11:20,2026-01-20 11:20,2012/2112 30010KT P6SM SKC,False,,10.0,300.0,0.0,6.01,[],['SKC'],[None],,,,202601201120-KPHI-FTUS41-TAFACY,Observation
KACY,2026-01-20 11:20,2026-01-20 16:00,FM201600 29011G20KT P6SM SKC,False,,11.0,290.0,20.0,6.01,[],['SKC'],[None],,,,202601201120-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-20 11:20,2026-01-20 23:00,FM202300 29006KT P6SM SKC,False,,6.0,290.0,0.0,6.01,[],['SKC'],[None],,,,202601201120-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-20 11:20,2026-01-21 06:00,FM210600 VRB03KT P6SM FEW250,False,,,,,6.01,[],['FEW'],[25000],,,,202601201120-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-20 17:26,2026-01-20 17:26,2018/2118 29014G24KT P6SM SKC,False,,14.0,290.0,24.0,6.01,[],['SKC'],[None],,,,202601201726-KPHI-FTUS41-TAFACY,Observation
KACY,2026-01-20 17:26,2026-01-20 22:00,FM202200 29010KT P6SM SKC,False,,10.0,290.0,0.0,6.01,[],['SKC'],[None],,,,202601201726-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-20 17:26,2026-01-21 03:00,FM210300 VRB03KT P6SM SKC,False,,,,,6.01,[],['SKC'],[None],,,,202601201726-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-20 17:26,2026-01-21 14:00,FM211400 17007KT P6SM FEW250,False,,7.0,170.0,0.0,6.01,[],['FEW'],[25000],,,,202601201726-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-20 17:26,2026-01-21 17:00,FM211700 19012KT P6SM SCT250,False,,12.0,190.0,0.0,6.01,[],['SCT'],[25000],,,,202601201726-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-20 23:36,2026-01-20 23:36,2100/2124 30009KT P6SM SKC,False,,9.0,300.0,0.0,6.01,[],['SKC'],[None],,,,202601202336-KPHI-FTUS41-TAFACY,Observation
KACY,2026-01-20 23:36,2026-01-21 14:00,FM211400 19009KT P6SM FEW170 SCT240,False,,9.0,190.0,0.0,6.01,[],"['FEW', 'SCT']","[17000, 24000]",,,,202601202336-KPHI-FTUS41-TAFACY,Forecast
